Date,PM10,PM2. 5,CO,AQI,Place_vyttilla
7/3/2023,-1.26823381,-0.995508393,1.066953124,-0.228842002,1
7/4/2023,-1.128710942,-0.880003929,1.196902708,-0.17683011,1
7/5/2023,-1.329760598,-1.074443877,1.170912791,-0.17683011,1
7/6/2023,-1.310494634,-1.027171779,1.144922874,-0.202836056,1
7/7/2023,-1.392219611,-1.067754429,1.066953124,-0.228842002,1
7/8/2023,-1.08489641,-0.712321772,1.144922874,-0.202836056,1
7/9/2023,-0.449430339,-0.841651095,1.118932957,-0.202836056,1
7/10/2023,-0.498527473,-1.044564343,0.859033789,-0.332865784,1
7/11/2023,-0.482679664,-0.790365329,1.222892625,-0.150824165,1
7/12/2023,0.459488124,-0.872422555,1.196902708,-0.046800382,1
7/13/2023,-0.74991723,-1.085592956,0.988983373,-0.280853893,1
7/14/2023,-0.433893272,-0.933965474,1.248882542,-0.150824165,1
7/15/2023,0.127305616,-0.914789057,1.196902708,-0.17683011,1
7/16/2023,-0.032726182,-0.966520786,1.040963207,-0.254847947,1
7/17/2023,-0.613191033,-1.040104712,1.144922874,-0.202836056,1
7/18/2023,0.305049671,-1.024496,1.196902708,-0.17683011,1
7/19/2023,-0.498527473,-1.06507865,1.248882542,-0.150824165,1
7/20/2023,-0.109168555,-0.946898406,1.274872458,-0.124818219,1
7/21/2023,1.384565139,-0.846110727,1.326852292,0.629354204,1
7/22/2023,1.173261017,-0.880895855,1.378832126,0.499324476,1
7/23/2023,-1.346851373,-1.036091043,1.222892625,-0.150824165,1
7/24/2023,-1.380722181,-1.051253791,1.326852292,-0.098812274,1
7/25/2023,-1.394084059,-1.070876171,1.352842209,-0.098812274,1
7/26/2023,-1.234984485,-0.942438775,1.300862375,-0.124818219,1
7/27/2023,-0.91057051,-1.073105987,1.352842209,-0.098812274,1
7/28/2023,0.738844603,-0.756472127,1.378832126,0.187253128,1
7/29/2023,0.270246639,-0.803298262,1.300862375,-0.124818219,1
7/30/2023,0.144085649,-0.95715556,1.222892625,-0.150824165,1
7/31/2023,-0.199905031,-1.042780491,1.326852292,-0.098812274,1
8/1/2023,-0.102953728,-1.052591681,1.352842209,-0.098812274,1
8/2/2023,-0.349371623,-0.71053792,1.456801876,-0.046800382,1
8/3/2023,0.254088089,-0.701172693,1.430811959,-0.046800382,1
8/4/2023,-0.061625128,-1.044564343,1.378832126,-0.072806328,1
8/5/2023,0.133209702,-0.876436224,1.430811959,-0.046800382,1
8/6/2023,-0.585224311,-1.065524613,1.300862375,-0.124818219,1
8/7/2023,-0.123462658,-0.883125671,1.378832126,-0.072806328,1
8/8/2023,-0.403129877,-0.877774113,1.456801876,-0.046800382,1
8/9/2023,-0.063178835,-0.76806717,0.859033789,-0.332865784,1
8/10/2023,-0.531155316,-0.814893304,0.703094288,-0.410883621,1
8/11/2023,-0.671610408,-0.957601523,1.09294304,-0.228842002,1
8/12/2023,0.016681693,-0.750228643,0.911013623,-0.306859839,1
8/13/2023,-0.379202793,-0.884909524,1.456801876,-0.046800382,1
8/14/2023,0.000523143,-0.775648544,1.300862375,-0.046800382,1
8/15/2023,-0.104196694,-0.602614829,0.729084205,-0.35887173,1
8/16/2023,0.741952016,-0.017065171,0.859033789,0.187253128,1
8/17/2023,0.16956644,-0.70920003,0.781064038,-0.280853893,1
8/18/2023,-0.18592167,-0.575411075,0.677104371,-0.436889567,1
8/19/2023,0.014817245,-0.812217525,0.44319512,-0.410883621,1
8/20/2023,-0.348128658,-0.838975316,0.365225369,-0.59292524,1
8/21/2023,-0.337563451,-0.676644718,0.287255619,-0.618931186,1
8/22/2023,-1.0044144,-1.171217887,1.040963207,-0.254847947,1
8/23/2023,0.457623676,-0.816231194,1.378832126,-0.046800382,1
